subject,slope,modality
1,1.18076371446821,LE
2,1.00368127244281,LE
3,0.782266943758271,LE
4,0.445044014996686,LE
5,1.00974827527244,LE
6,0.857953011281584,LE
7,0.582599011087587,LE
8,0.767730199512577,LE
9,0.367253999202224,LE
10,0.672733692080472,LE
11,0.825687043615158,LE
12,1.32345998384465,LE
13,0.905538418328199,LE
14,0.801767453159554,LE
15,0.804602717415794,LE
16,0.935185533521046,LE
17,0.768968892998595,LE
18,0.875030082348965,LE
19,1.03747093709399,LE
20,0.956838351794504,LE
21,1.01553646040978,LE
22,0.967214613278295,LE
23,0.78780213474037,LE
24,0.645555491550665,LE
25,0.92477101199961,LE
26,0.863340950424946,LE
27,0.932424884569717,LE
28,0.298160720044734,LE
29,1.02831081107136,LE
30,0.825145495916133,LE
31,0.934856506129356,LE
32,0.919307031506947,LE
33,0.918101669532156,LE
34,1.29154146039614,LE
35,0.994550288810135,LE
36,0.826058677457571,LE
37,1.28393896793654,LE
38,1.49581160793717,LE
39,0.740736500232977,LE
40,0.822240754693323,LE
41,0.908941515862297,LE
42,0.949531550497593,LE
43,1.03086243750362,LE
44,0.961216093969747,LE
45,0.83019861202787,LE
46,0.837194868607279,LE
47,1.08085841471679,LE
48,1.10521632600013,LE
49,0.920810934326619,LE
50,0.875751348402762,LE
51,1.10695188251482,LE
52,1.08686243092735,LE
53,0.906833003323886,LE
54,0.818883862969874,LE
55,1.20653758631761,LE
56,0.840002219069082,LE
57,0.8155646185989,LE
58,0.78272782585797,LE
59,1.09274888473399,LE
60,1.14439986014591,LE
61,0.792818593675758,LE
62,0.687517794351408,LE
63,0.857775181525453,LE
64,0.949519871868327,LE
65,0.76274599985987,LE
66,0.81927088838854,LE
67,1.03213054264414,LE
68,0.844811554078256,LE
69,0.817854107866386,LE
70,0.934096573154799,LE
71,0.989784112438444,LE
1,0.0666667255101059,ED
2,1.33418250227659,ED
3,0.0521013318754129,ED
4,0.538073475345521,ED
5,0.92935469501871,ED
6,-0.0166911660151962,ED
7,0.0163648075747398,ED
8,-0.0999512160689531,ED
9,0.0499993119418604,ED
10,0.0503481275760425,ED
11,0.383340966484869,ED
12,0.977738633132288,ED
13,0.316858435902849,ED
14,0.550003365304354,ED
15,0.050076594900697,ED
16,0.100367513133988,ED
17,0.0166570122846394,ED
18,-4.6609673725644e-08,ED
19,-0.117732402858721,ED
20,0.149916089922527,ED
21,0.405336056375297,ED
22,0.295311007903376,ED
23,0.0333637447229942,ED
24,0.517002680305463,ED
25,0.818889744556228,ED
26,-0.0410737533538822,ED
27,1.34624496001585,ED
28,-0.260749961380008,ED
29,0.183796892551854,ED
30,0.0833333302043933,ED
31,3.8634343155788e-07,ED
32,0.864527605227153,ED
33,0.350000086534167,ED
34,-0.0838447725723881,ED
35,0.0666673422210744,ED
36,0.200000366105561,ED
37,-1.75586414005036e-09,ED
38,-0.149917870869022,ED
39,0.0764527991415827,ED
40,0.383334269229551,ED
41,0.631950108027632,ED
42,-0.0336455800782929,ED
43,-0.0500017415862036,ED
44,-0.0333333491213096,ED
45,0.668301938436235,ED
46,0.218398966592132,ED
47,0.0500011209707674,ED
48,0.216666679775438,ED
49,0.33738951642112,ED
50,0.283609442722358,ED
51,0.236168760471109,ED
52,0.099531065616912,ED
53,0.316712323691216,ED
54,-1.75586414005036e-09,ED
55,0.414382808229281,ED
56,1.04553413340502,ED
57,0.347809933530006,ED
58,0.958936946977397,ED
59,0.191841235294525,ED
60,0.422782239117395,ED
61,-0.233459583388637,ED
62,-0.116122777257527,ED
63,0.333336931671721,ED
64,0.033333333429614,ED
65,0.434618671558065,ED
66,0.0666669171149869,ED
67,0.0664438608635503,ED
68,0.914073411129794,ED
69,-1.75586414005036e-09,ED
70,0.731988685799344,ED
71,0.944886777474394,ED
1,-0.0154295759991981,EE
2,1.0865038823381,EE
3,-0.0862340226356007,EE
4,0.559564607140792,EE
5,0.848661117077308,EE
6,0.699448022040475,EE
7,-0.115257812352779,EE
8,-0.820309251939332,EE
9,0.423816077844639,EE
10,0.347564243424353,EE
11,0.877897442424264,EE
12,1.01321541364982,EE
13,0.527565354243347,EE
14,0.718727984004554,EE
15,0.788230322023166,EE
16,0.395904785538853,EE
17,0.449875219813578,EE
18,-0.00445003402000005,EE
19,-0.137045476723161,EE
20,0.821468243175022,EE
21,1.08310823787946,EE
22,0.612860116228936,EE
23,-0.293816433442133,EE
24,0.570734270947901,EE
25,0.570821851139514,EE
26,0.30555900141975,EE
27,0.651246897406454,EE
28,0.499941815313703,EE
29,0.496681836893207,EE
30,0.214205009119647,EE
31,0.284013242689341,EE
32,0.791685910180651,EE
33,0.509681653958087,EE
34,0.610246257098276,EE
35,0.608435712032206,EE
36,-0.245017780164882,EE
37,0.569672165477218,EE
38,0.812383037574252,EE
39,0.710059811397177,EE
40,0.570545115312442,EE
41,0.444351366709409,EE
42,0.558879154581085,EE
43,1.05960954676874,EE
44,0.201957164121257,EE
45,0.606080594399025,EE
46,0.71942360375813,EE
47,-0.930014274003966,EE
48,1.27853758150376,EE
49,0.924938983503676,EE
50,1.10890305214059,EE
51,0.604309675309553,EE
52,0.701320636891919,EE
53,0.827737934112978,EE
54,0.250650620648806,EE
55,0.531672728429448,EE
56,0.992871349371846,EE
57,0.654056394687555,EE
58,1.02698999538878,EE
59,0.00559666998792397,EE
60,0.821460964941289,EE
61,-0.0962308966306755,EE
62,-0.0463788246219734,EE
63,1.04226276352232,EE
64,0.101444368622948,EE
65,0.727055824442808,EE
66,-0.201918581250103,EE
67,0.470354554913077,EE
68,0.802594531981771,EE
69,0.219382878765841,EE
70,0.77447702008584,EE
71,0.785867979404657,EE
1,-0.0916666666666664,SP
2,1.46666666666667,SP
3,0.2,SP
4,0.85,SP
5,0.916666666666666,SP
6,0,SP
7,-0.191666666666666,SP
8,9.17306727455841e-17,SP
9,9.17306727455841e-17,SP
10,0.7,SP
11,0.516666666666666,SP
12,1.2,SP
13,0.833333333333333,SP
14,0.65,SP
15,9.17306727455841e-17,SP
16,0.125,SP
17,0.591666666666667,SP
18,0.0833333333333332,SP
19,-0.125,SP
20,0.75,SP
21,0.6,SP
22,0.866666666666666,SP
23,-0.0583333333333333,SP
24,0.45,SP
25,0.383333333333333,SP
26,-0.141666666666666,SP
27,1.13333333333333,SP
28,0.116666666666667,SP
29,0.391666666666666,SP
30,0.00833333333333358,SP
31,-0.125,SP
32,0.9,SP
33,0.533333333333333,SP
34,0.0833333333333332,SP
35,0.0916666666666667,SP
36,0.225,SP
37,0.483333333333333,SP
38,0.0166666666666668,SP
39,0.416666666666666,SP
40,0.45,SP
41,0.541666666666666,SP
42,0.341666666666667,SP
43,0.225,SP
44,0.0416666666666666,SP
45,0.733333333333333,SP
46,0.0833333333333333,SP
47,0.141666666666667,SP
48,1.01666666666667,SP
49,0.116666666666667,SP
50,0.916666666666666,SP
51,0.5,SP
52,0.341666666666667,SP
53,0.0833333333333338,SP
54,0.0416666666666666,SP
55,1.05,SP
56,1.225,SP
57,0.575,SP
58,1.375,SP
59,0.5,SP
60,0.45,SP
61,0.0833333333333338,SP
62,-0.833333333333333,SP
63,0.6,SP
64,0.608333333333333,SP
65,0.633333333333333,SP
66,9.17306727455841e-17,SP
67,1.83461345491168e-16,SP
68,0.924999999999999,SP
69,-0.325,SP
70,0.958333333333333,SP
71,1.03333333333333,SP
